Inference for Stan model: randomwalk_kalman_model
1 chains: each with iter=(100000); warmup=(0); thin=(1); 100000 iterations saved.

Warmup took (2.1) seconds, 2.1 seconds total
Sampling took (523) seconds, 8.7 minutes total

                    Mean     MCSE   StdDev        5%       50%    95%    N_Eff  N_Eff/s    R_hat
m[38]           7.1e-001 3.5e-004 6.4e-002  6.1e-001  7.1e-001   0.81 3.4e+004 6.6e+001 1.0e+000
m[39]           7.5e-001 4.3e-004 7.8e-002  6.3e-001  7.5e-001   0.88 3.4e+004 6.5e+001 1.0e+000
m[40]           7.8e-001 4.4e-004 7.9e-002  6.5e-001  7.8e-001   0.90 3.3e+004 6.2e+001 1.0e+000
m[41]           7.2e-001 3.1e-004 5.4e-002  6.3e-001  7.3e-001   0.80 3.0e+004 5.7e+001 1.0e+000
m[42]           7.4e-001 3.2e-004 5.5e-002  6.5e-001  7.5e-001   0.82 3.0e+004 5.6e+001 1.0e+000
m[43]           8.4e-001 5.4e-004 9.8e-002  6.9e-001  8.4e-001   1.00 3.3e+004 6.2e+001 1.0e+000
m[44]           8.5e-001 5.4e-004 9.8e-002  6.9e-001  8.5e-001    1.0 3.2e+004 6.2e+001 1.0e+000
m[45]           8.7e-001 6.1e-004 1.1e-001  7.0e-001  8.7e-001    1.1 3.4e+004 6.4e+001 1.0e+000
m[46]           8.5e-001 5.5e-004 9.7e-002  7.0e-001  8.6e-001    1.0 3.2e+004 6.1e+001 1.0e+000
m[47]           9.0e-001 6.3e-004 1.1e-001  7.3e-001  9.1e-001    1.1 3.2e+004 6.1e+001 1.0e+000
m[48]           8.8e-001 5.8e-004 1.0e-001  7.2e-001  8.9e-001    1.0 3.1e+004 5.9e+001 1.0e+000
m[49]           9.0e-001 6.2e-004 1.1e-001  7.3e-001  9.1e-001    1.1 3.2e+004 6.0e+001 1.0e+000
m[50]           9.5e-001 7.4e-004 1.4e-001  7.4e-001  9.5e-001    1.2 3.4e+004 6.5e+001 1.0e+000
m[51]           9.0e-001 5.9e-004 1.0e-001  7.3e-001  9.1e-001    1.1 3.0e+004 5.8e+001 1.0e+000
m[52]           9.5e-001 7.3e-004 1.3e-001  7.5e-001  9.6e-001    1.2 3.3e+004 6.3e+001 1.0e+000
m[53]           1.1e+000 1.0e-003 1.8e-001  7.9e-001  1.1e+000    1.4 3.3e+004 6.4e+001 1.0e+000
m[54]           9.9e-001 6.9e-004 1.2e-001  7.9e-001  1.0e+000    1.1 2.9e+004 5.5e+001 1.0e+000
m[55]           9.5e-001 5.7e-004 9.3e-002  7.8e-001  9.7e-001    1.1 2.7e+004 5.1e+001 1.0e+000
m[56]           1.0e+000 7.8e-004 1.3e-001  8.1e-001  1.1e+000    1.2 2.9e+004 5.6e+001 1.0e+000
m[57]           1.0e+000 7.4e-004 1.2e-001  8.1e-001  1.0e+000    1.2 2.8e+004 5.4e+001 1.0e+000
m[58]           1.0e+000 6.1e-004 1.0e-001  8.1e-001  1.0e+000    1.1 2.6e+004 5.0e+001 1.0e+000
m[59]           8.9e-001 3.3e-004 5.4e-002  7.9e-001  9.1e-001   0.95 2.7e+004 5.1e+001 1.0e+000
